KIC	consensus	evol-1	evol-2	evol-3	evol-4	spectroscopic
5724947	RGB/AGB	U	RGB	AGB	RGB	UpperRGB
5726892	RC	RC	RC	RC	RC	RC(S)
5726966	RGB	RGB	RGB	RGB	RGB	UpperRGB
5728401	RC	RC	RC	RC	RC	RC(S)
5728553	U	U	RC	U	U	RC(S)
5728738	RC	RC	RC	RC	RC	RC(S)
5730384	RC	RC	RC	RC	RC	RC(S)
5730703	RC	RC	RC	RC	RC	RC(S)
5730952	U	U	RC	RGB	U	RC(S)
5731385	RC	RC	RC	RC	RC	RC(S)
5731766	RC/2CL	RC	RC	2CL	RC	RC(S)
5731852	RGB	RGB	RGB	RGB	U	RGB(S)
5731891	U	U	RC	RGB	U	RC(S)
5732418	RC	RC	RC	RC	RC	RC(S)
5732922	RC/U	U	RC	RC	U	RC(S)
5733555	RC/2CL	RC	RC	RC	2CL	RC(S)
5733975	2CL	RC	RC	2CL	2CL	RC(S)
5734092	2CL	RC	RC	2CL	2CL	RC(S)
5734154	RGB	RGB	RGB	U	RGB	UpperRGB
5734838	RC/2CL	RC	RC	2CL	RGB	RC(S)
5735779	RC/U	U	RC	RC	U	RC(S)
5736093	2CL	RC	RC	2CL	2CL	RC(S)
5736841	2CL	RC	RC	2CL	2CL	RC(S)
5736877	RC	RC	RC	RC	RC	RC(S)
5736976	RC	RC	RC	RC	RC	RC(S)
5739098	2CL	RC	RC	2CL	2CL	RC(S)
5768075	RGB	RGB	?	RGB	RGB	RGB(S)
5768953	RGB/AGB	U	RGB	AGB	RGB	UpperRGB
5769244	RGB	RGB	RC	RGB	RGB	RGB(S)
5770031	RC	RC	RC	RC	RC	RC(S)
5770637	RGB	RGB	RC	RGB	U	RC(S)
5770923	2CL	RC	RC	2CL	2CL	RC(S)
5771513	RC	RC	RC	RC	U	RC(S)
5772710	RC	RC	RC	RC	RC	RC(S)
5773063	RGB	RGB	RGB	RGB	RGB	RGB(S)
5774558	RGB	RGB	RC	RGB	RGB	RC(S)
5774568	RGB	RGB	RC	RGB	RGB	RGB(S)
5774861	RC	check	RC	RC	RC	RGB(S)
5779724	RGB	RGB	RGB	RGB	RGB	UpperRGB
5780142	U	check	RC	RC	U	RGB(S)
5780424	RGB/AGB	RGB	RC	AGB	RGB	UpperRGB
5780614	RGB	RGB	RGB	RGB	RGB	RGB(S)
5780782	RGB	U	RGB	RGB	RGB	UpperRGB
5780828	RGB	RGB	RGB	RGB	RGB	RGB(S)
5781782	RC	RC	RC	RC	RC	RC(S)
5781901	RGB	RGB	RC	RGB	U	RGB(S)
5782127	RC	RC	RC	RC	RC	RC(S)
5782671	RGB	RGB	RGB	RGB	RGB	RGB(S)
5782792	RC	RC	RC	RGB	RC	RC(S)
5784094	RGB	RGB	RGB	RGB	RGB	RGB(S)
5785268	RGB	U	RC	RGB	RGB	RGB(S)
5785573	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
5785710	RGB	RGB	RGB	RGB	RGB	UpperRGB
5787509	RC	RC	RC	RC	RC	RC(S)
5788354	RC	RC	RC	RC	RC	RC(S)
5791045	RGB	RGB	RGB	RGB	RGB	RGB(S)
5791135	RC/2CL	RC	RC	RC	2CL	RC(S)
5791844	RC/2CL	RC	RC	2CL	RC	RC(S)
5791889	RGB	RGB	RC	RGB	RGB	RGB(S)
5792421	RC	RC	RC	RC	RC	RC(S)
5793427	RGB	U	RGB	RGB	RGB	RGB(S)
5793628	U	RGB	RGB	U	U	RC(S)
5794100	RC	RC	RC	RC	RC	RC(S)
5795250	RGB	RGB	RGB	RGB	RGB	RGB(S)
5795475	RGB	RGB	RGB	RGB	RGB	RGB(S)
5795626	RC	RC	RGB	RC	RC	RC(S)
5801446	RC	U	RC	RC	RC	RC(S)
5802797	RGB	RGB	RGB	RGB	RGB	RGB(S)
5806522	RGB	RGB	RGB	RGB	RGB	RGB(S)
5808398	RGB	RGB	RC	RGB	U	RGB(S)
5808438	U	check	RGB	U	RGB	RC(S)
5809445	RC/2CL	check	RC	RC	2CL	RC(S)
5810333	RC	RC	RC	RC	RC	RC(S)
5810513	RGB	RGB	RGB	RGB	RGB	RGB(S)
5811766	RGB	RGB	RGB	RGB	U	RGB(S)
5812955	RGB	RGB	RGB	RGB	RGB	RGB(S)
5814204	U	RGB	RC	U	U	RGB(S)
5816145	RC/U	U	RC	RC	U	RC(S)
5816923	RGB	U	RC	RGB	RGB	RGB(S)
5817028	RC	RC	RC	RC	RC	RC(S)
5820359	RGB	RGB	RGB	RGB	RGB	RGB(S)
5822232	RC	RC	RC	RC	U	RC(S)
5822936	RGB	RGB	RGB	RGB	U	RGB(S)
5854149	RC	RC	RC	RC	RC	RC(S)
5855568	RC	RC	RC	RC	RC	RC(S)
5856737	RGB	RGB	RGB	RGB	RGB	RGB(S)
5856931	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
5857548	RC	RC	RC	RC	RC	RC(S)
5857618	U	check	RC	2CL	RGB	RGB(S)
5857724	RGB	RGB	RGB	RGB	RGB	UpperRGB
5858034	RC	RC	RC	RC	RC	RC(S)
5858641	RGB	RGB	RGB	RGB	RGB	UpperRGB
5858947	RGB	RGB	RGB	RGB	RGB	RGB(S)
5859492	RC	RC	RC	RC	RC	RGB(S)
5860093	RGB	RGB	RGB	RGB	RGB	RGB(S)
5866138	2CL	RC	RC	2CL	2CL	RC(S)
5866537	RGB	RGB	RC	RGB	RGB	RGB(S)
5866737	RGB	RGB	RGB	RGB	RGB	RGB(S)
5866945	RGB	RGB	RC	RGB	RGB	RGB(S)
5866965	RGB	RGB	?	RGB	RGB	UpperRGB
5867450	RGB	RGB	RC	RGB	RGB	RGB(S)
5867990	RGB	U	RC	RGB	RGB	RGB(S)
5869293	RGB	RGB	RGB	RGB	RGB	RGB(S)
5869538	RGB	RGB	RGB	RGB	RGB	RGB(S)
5869785	RGB	RGB	RGB	RGB	U	RGB(S)
5872236	RC	RC	RC	RC	RC	RC(S)
5872509	RC	RC	RC	RC	RC	RC(S)
5876758	RC	RC	RC	RC	RC	RC(S)
5879112	RC	RC	RC	RC	RC	RC(S)
5879265	U	RGB	RGB	U	U	UpperRGB
5879728	RC	RC	RC	RC	RC	RC(S)
5879876	U	check	RC	U	U	RC(S)
5881733	U	RGB	?	U	U	UpperRGB
5882005	RGB	RGB	RGB	RGB	RGB	RGB(S)
5882210	RGB	RGB	RGB	RGB	RGB	RGB(S)
5891971	U	U	RC	U	RGB	RC(S)
5891982	RGB	RGB	RGB	RGB	RGB	RGB(S)
5892369	U	check	RC	RC	U	RC(S)
5893765	RGB	RGB	RGB	RGB	RGB	RGB(S)
5893926	RGB	RGB	RC	RGB	U	RGB(S)
5894271	RGB	RGB	RGB	RGB	RGB	RGB(S)
5896480	RC	RC	RC	RC	RC	RC(S)
5899383	U	RGB	RC	RC	U	RC(S)
5899642	RGB	RGB	RGB	RGB	RGB	RGB(S)
5903484	RC/U	U	RC	RC	U	RC(S)
5905457	U	?	?	U	U	RGB(S)
5905600	U	U	RGB	U	U	RGB(S)
5905655	RGB	RGB	RGB	RGB	RGB	UpperRGB
5905736	RGB	RGB	RC	RGB	RGB	RGB(S)
5905907	RGB	check	RGB	RGB	RGB	RGB(S)
5906289	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
5937398	RGB	RGB	RGB	RGB	RGB	RGB(S)
5938430	RGB	RGB	RGB	RGB	RGB	RGB(S)
5940060	RGB	RGB	RGB	RGB	RGB	RGB(S)
5940068	RGB	RGB	RGB	RGB	RGB	RGB(S)
5940587	RGB	RGB	RGB	RGB	RGB	RGB(S)
5943345	RC/2CL	RC	RC	RC	2CL	RC(S)
5943448	RGB	RGB	RGB	RGB	U	RGB(S)
5944493	RC	RC	RC	RC	U	RC(S)
5950668	RGB	RGB	RGB	RGB	RGB	UpperRGB
5952890	RGB	RGB	RGB	RGB	RGB	RGB(S)
5953450	RGB	RGB	RGB	RGB	RGB	RGB(S)
5953709	RC/2CL	RC	RC	2CL	U	RC(S)
5954815	RGB	RGB	RC	RGB	RGB	RGB(S)
5956105	RC/2CL	check	RC	2CL	RC	RC(S)
5956977	RGB	RGB	RGB	RGB	RGB	RGB(S)
5959615	RC	RC	RC	RC	U	RC(S)
5960552	RGB	RGB	RGB	RGB	RGB	RGB(S)
5960710	U	U	RGB	U	RGB	UpperRGB
5961015	RC/2CL	RC	?	RC	2CL	RC(S)
5961985	U	RGB	?	RGB	U	RGB(S)
5962031	RGB	RGB	RGB	RGB	RGB	UpperRGB
5962451	RGB	RGB	RGB	RGB	RGB	RGB(S)
5962470	RC	RC	RC	RC	RC	RC(S)
5963732	RGB/AGB	U	RGB	AGB	RGB	UpperRGB
5964042	RGB	RGB	RGB	RGB	RGB	RGB(S)
5964634	RC	RC	RGB	RC	RC	RC(S)
5965040	RC	RC	RC	RC	RC	RC(S)
5966386	RC/2CL	RC	RC	2CL	RC	RC(S)
5967194	RGB	RGB	RC	RGB	RGB	RGB(S)
5976238	RC	RC	RC	RC	RC	RC(S)
5976798	RC/2CL	RC	RC	2CL	RC	RC(S)
5977341	2CL	RC	RC	RGB	2CL	RC(S)
5977508	RC	RC	RC	RC	RC	RC(S)
5981329	RC	RC	RC	RC	RC	RC(S)
5981666	2CL	RC	RC	2CL	2CL	RC(S)
5981697	RC	RC	RC	RC	RC	RC(S)
5982708	U	check	RC	2CL	U	RC(S)
5983251	RGB	RGB	RGB	U	RGB	UpperRGB
5983299	RC/2CL	RC	RC	2CL	RGB	RC(S)
5985218	RGB/U	U	RGB	RGB	U	UpperRGB
5990753	U	RGB	RC	RGB	2CL	RC(S)
6023638	RGB	RGB	RGB	RGB	RGB	RGB(S)
6024360	RC	RC	RC	RC	RC	RC(S)
6025031	RGB	RGB	RGB	RGB	RGB	RGB(S)
6025641	RGB	RGB	RGB	RGB	RGB	RGB(S)
6026188	RGB	RGB	RGB	RGB	RGB	RGB(S)
6026983	RGB	RGB	RC	RGB	RGB	RGB(S)
6032639	RC	RC	RC	U	RC	RC(S)
6033938	RGB	RGB	RGB	RGB	RGB	RGB(S)
6034166	RGB	RGB	RGB	RGB	RGB	RGB(S)
6035199	U	?	?	RGB	U	RGB(S)
6037102	RGB	RGB	RGB	RGB	RGB	RGB(S)
6037660	RC	RC	RC	RC	RC	RC(S)
6037811	RC	RC	RC	RC	RC	RC(S)
6037858	RC	check	RC	RC	RC	RC(S)
6038302	RGB	RGB	RGB	RGB	RGB	RGB(S)
6041223	RGB	RGB	RGB	RGB	RGB	RGB(S)
6041575	RGB	RGB	RGB	RGB	RGB	UpperRGB
6043187	RGB	RGB	RGB	RGB	RGB	RGB(S)
6044054	RGB	RGB	RGB	RGB	RGB	RGB(S)
6045141	RGB	RGB	RGB	U	RGB	UpperRGB
6045299	RC	RC	RC	RC	RC	RC(S)
6045509	RGB	RGB	RGB	RGB	RGB	RGB(S)
6047339	RGB	RGB	RGB	RGB	RGB	RGB(S)
6047683	RC	RC	RC	RC	RC	RC(S)
6048671	RGB	RGB	RGB	RGB	RGB	UpperRGB
6048862	RC	RC	RC	RC	RC	RC(S)
6049399	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6049459	RGB/AGB	U	RC	AGB	RGB	RC(S)
6057532	RC/U	U	RC	RC	U	RC(S)
6058104	RGB	RGB	RGB	RGB	RGB	RGB(S)
6058700	RGB	RGB	RC	RGB	RGB	RGB(S)
6058941	RGB	check	RGB	RGB	RGB	RGB(S)
6060867	RGB	RGB	RC	RGB	RGB	RGB(S)
6060903	RC	RC	RC	RC	RC	RGB(S)
6061867	RGB	RGB	RGB	RGB	RGB	RGB(S)
6063745	RGB	RGB	RGB	RGB	RGB	RGB(S)
6066204	U	RGB	RGB	U	U	UpperRGB
6067314	2CL	RC	RC	2CL	2CL	RC(S)
6067958	RGB	RGB	RGB	RGB	RGB	RGB(S)
6067987	RC	RC	RC	RGB	RC	RC(S)
6070366	2CL	U	RC	2CL	2CL	RC(S)
6070419	RGB	U	RGB	RGB	RGB	RGB(S)
6100524	RGB	RGB	RGB	RGB	RGB	RGB(S)
6100831	RC	RC	RC	RC	RC	RC(S)
6101471	RGB	RGB	RGB	RGB	RGB	RGB(S)
6103082	RGB	RGB	RGB	RGB	U	RGB(S)
6103934	RGB	U	RGB	RGB	RGB	RGB(S)
6104786	RGB	RGB	RGB	RGB	RGB	RGB(S)
6106895	RC	RC	RC	RC	U	RC(S)
6113813	RGB	RGB	RGB	RGB	U	RGB(S)
6114108	RGB	RGB	RGB	RGB	RGB	RGB(S)
6114507	RGB	RGB	RGB	RGB	RGB	RGB(S)
6115575	RGB	RGB	RC	RGB	U	RGB(S)
6116517	RGB	check	RGB	RGB	RGB	RGB(S)
6116940	U	U	RGB	RC	U	RGB(S)
6117196	RGB	RGB	RGB	RGB	RGB	RGB(S)
6117517	RGB	RGB	RC	RGB	RGB	RGB(S)
6118479	RGB	RGB	RC	RGB	RGB	RGB(S)
6118670	RGB	RGB	RGB	RGB	RGB	RGB(S)
6118789	RGB	RGB	RGB	RGB	RGB	RGB(S)
6119774	RGB	RGB	RGB	RGB	RGB	RGB(S)
6122562	RC	RC	RC	RC	RC	RGB(S)
6122627	RC	RC	RC	RC	RC	RC(S)
6122692	RGB	RGB	RGB	RGB	U	RC(S)
6122976	RGB	RGB	RGB	U	RGB	UpperRGB
6123202	RGB	RGB	RGB	RGB	RGB	RGB(S)
6124244	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6125862	RC	RC	RC	RC	RC	RGB(S)
6125893	RGB	RGB	RGB	RGB	RGB	UpperRGB
6126168	RC	RC	RGB	RC	RC	RGB(S)
6126628	RGB	RGB	RGB	RC	RGB	RGB(S)
6126808	RGB	RGB	RGB	RGB	RGB	RGB(S)
6127825	2CL	RC	RC	2CL	2CL	RC(S)
6128337	RGB	RGB	RC	RGB	RGB	RGB(S)
6128428	RC	RC	RC	RC	RC	RC(S)
6128774	RC	RC	RC	RC	RC	RC(S)
6128903	RGB	RGB	RGB	RGB	RGB	RGB(S)
6129293	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6129411	2CL	RC	RC	2CL	2CL	RC(S)
6129581	RC	RC	RC	RC	RC	RC(S)
6129632	RGB	RGB	RGB	RGB	U	RC(S)
6130405	RGB	RGB	RGB	RGB	RGB	RGB(S)
6130752	2CL	RC	RC	2CL	2CL	RC(S)
6131884	U	U	RGB	RC	U	RGB(S)
6139471	RGB	RGB	RGB	RGB	U	RGB(S)
6139561	RGB	RGB	RGB	RGB	RGB	RC(S)
6140030	RC	RC	RC	RC	RC	RC(S)
6140132	RGB	RGB	RGB	RGB	U	RGB(S)
6140748	RC	RC	RC	RC	RC	RC(S)
6140947	RC	RC	RC	RC	RC	RC(S)
6141488	RGB	RGB	RGB	RGB	U	RGB(S)
6142229	2CL	RC	RC	2CL	2CL	RC(S)
6142932	RGB	RGB	RGB	RGB	U	RGB(S)
6142964	RGB	RGB	RC	RGB	RGB	RGB(S)
6144777	RGB	RGB	RC	RGB	RGB	RGB(S)
6148227	2CL	RC	RC	2CL	2CL	RC(S)
6153373	2CL	RC	RC	2CL	2CL	RC(S)
6181896	RGB	RGB	RGB	RGB	RGB	RGB(S)
6183311	RC	RC	RC	RC	RC	RC(S)
6185317	RGB	RGB	RGB	RGB	RGB	RGB(S)
6185790	U	RGB	RGB	RC	U	RGB(S)
6185964	RC	RC	RC	U	RC	RC(S)
6186435	RC	RC	RC	RC	RC	RC(S)
6188215	RGB	RGB	RC	RGB	U	RGB(S)
6188269	RGB	RGB	RC	RGB	U	RC(S)
6191190	RGB	check	RGB	RGB	RGB	RGB(S)
6191288	RGB	RGB	RGB	RGB	U	RGB(S)
6192043	RGB	RGB	RC	RGB	U	RGB(S)
6192431	RC	RC	RC	RC	RC	RC(S)
6196149	RC	RC	RC	RC	RC	RC(S)
6196950	RGB	RGB	RGB	RGB	RGB	RGB(S)
6197019	U	U	RGB	AGB	U	UpperRGB
6197448	RC/2CL	RC	RC	RC	2CL	RGB(S)
6198123	RGB	RGB	RGB	RGB	RGB	RGB(S)
6198476	RGB	U	RGB	RGB	RGB	RGB(S)
6198581	RC	RC	RC	RC	RC	RC(S)
6200178	RGB	RGB	RGB	RGB	RGB	RGB(S)
6200565	RC	RC	RC	RC	RC	RC(S)
6201050	RGB	RGB	RC	RGB	RGB	RGB(S)
6203503	RC	RC	RC	RC	RC	RC(S)
6206407	RC	RC	RC	U	RC	RC(S)
6207510	RGB	RGB	RGB	RGB	RGB	RGB(S)
6208018	RGB	RGB	RGB	RGB	U	RGB(S)
6208344	RC	RC	RC	RC	RC	RC(S)
6208846	RGB	RGB	RGB	RGB	RGB	UpperRGB
6209377	RGB	RGB	RC	RGB	RGB	RC(S)
6209759	RC	RC	RC	RC	RC	RC(S)
6210264	RC	RC	RGB	RC	RC	RC(S)
6210900	RGB	RGB	RC	RGB	U	RC(S)
6211529	RGB	RGB	RGB	U	RGB	UpperRGB
6211965	RGB	RGB	RC	RGB	RGB	RGB(S)
6212600	RGB	RGB	RC	RGB	RGB	RGB(S)
6212708	RGB	RGB	RGB	RGB	RGB	RGB(S)
6212838	RGB	RGB	RGB	RGB	RGB	RGB(S)
6220320	RGB	RGB	RGB	RGB	RGB	UpperRGB
6220899	RC	RC	RC	RC	RC	RC(S)
6221641	RC	RC	RC	RC	RC	RC(S)
6222262	RGB	RGB	RC	RGB	U	RC(S)
6222355	RC	RC	RC	RC	RC	RC(S)
6222530	RGB	RGB	RGB	RGB	U	RGB(S)
6225344	RGB	RGB	RGB	RGB	RGB	RGB(S)
6225660	RGB	RGB	RGB	RGB	U	RGB(S)
6225752	RGB	RGB	RGB	RGB	RGB	UpperRGB
6227242	RGB	RGB	RGB	RGB	RGB	RGB(S)
6228364	RGB	RGB	RGB	RGB	RGB	RGB(S)
6228534	U	RGB	RC	RGB	U	DWARF
6228590	RGB	RGB	RGB	RGB	RGB	RGB(S)
6229677	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6231096	RGB	RGB	RC	RGB	RGB	RC(S)
6231237	RC	RC	RGB	RC	RC	RC(S)
6232858	RC	RC	RC	RC	RC	RC(S)
6232914	RC/2CL	RC	RC	2CL	RGB	RC(S)
6262706	RGB	RGB	RGB	RGB	RGB	RGB(S)
6262867	RGB	RGB	RGB	RGB	U	RGB(S)
6263410	2CL	RC	RC	RGB	2CL	RC(S)
6264398	RC	RC	RC	RC	RC	RC(S)
6266772	RGB	RGB	RGB	RGB	U	RGB(S)
6267800	RGB	RGB	RGB	RGB	RGB	RC(S)
6271732	RC	RC	RC	RC	RC	RC(S)
6271877	RGB	RGB	RGB	RGB	RGB	RGB(S)
6271966	RGB	RGB	RGB	RGB	RGB	RGB(S)
6272933	RC	RC	RC	RC	RC	RGB(S)
6272964	RGB	RGB	RGB	RGB	RC	RGB(S)
6273063	RC	RC	RC	RC	RC	RC(S)
6273090	RGB	RGB	RGB	RGB	U	RGB(S)
6276645	RGB	RGB	RC	RGB	RGB	RGB(S)
6276898	RC	RC	RC	RC	RC	RC(S)
6276948	2CL	RC	RC	2CL	2CL	RGB(S)
6277049	RGB	RGB	RC	RGB	RGB	RGB(S)
6277741	RGB	RGB	RGB	RGB	RGB	RGB(S)
6279038	RGB/AGB	RGB	?	AGB	RGB	UpperRGB
6279068	RGB	RGB	RC	RGB	RGB	RC(S)
6279491	RC	RC	RC	RC	RC	RC(S)
6280472	RGB	RGB	RC	RGB	U	RGB(S)
6280589	RGB	RGB	RGB	RGB	RGB	RGB(S)
6280936	RC	RC	RC	RC	RC	RC(S)
6283618	RGB	RGB	RGB	RGB	RGB	RGB(S)
6283995	RGB	RGB	RC	RGB	RGB	RGB(S)
6284459	RC	RC	RC	RC	RC	RC(S)
6286142	RGB	RGB	RGB	RGB	RGB	UpperRGB
6287950	RC	RC	RC	RC	RC	RC(S)
6288543	RC	RC	RC	RC	RC	RC(S)
6289002	RGB	RGB	RGB	RGB	RGB	RGB(S)
6289417	RC	RC	RGB	U	RC	RC(S)
6289527	RC	check	RC	RC	RC	RC(S)
6289573	RC	RC	RC	RC	RC	RC(S)
6290627	U	?	?	RGB	U	RGB(S)
6291110	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6294290	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6302852	U	RGB	RGB	2CL	U	RGB(S)
6303699	RGB	U	RGB	RGB	RGB	RGB(S)
6304676	RGB	RGB	RGB	RGB	RGB	RGB(S)
6304807	RGB	RGB	RGB	RGB	RGB	RGB(S)
6304895	RC/2CL	check	RC	RC	2CL	RC(S)
6305709	RC	RC	RC	RC	RC	RC(S)
6307578	RC	RC	RC	RC	RC	RC(S)
6307920	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6308030	RC/U	U	RC	RC	U	RC(S)
6308068	RGB	RGB	RGB	RGB	RGB	UpperRGB
6309307	2CL	RC	RC	2CL	2CL	RC(S)
6309488	2CL	RC	RC	2CL	2CL	RC(S)
6309549	RGB	U	RGB	RGB	RGB	RGB(S)
6311518	RGB	RGB	RC	RGB	U	RGB(S)
6311997	RGB	U	RGB	RGB	RGB	UpperRGB
6312478	RGB	RGB	RGB	RGB	RGB	RGB(S)
6313603	RC	RC	RC	RC	RC	RC(S)
6313922	U	U	RGB	U	U	UpperRGB
6341990	RGB	RGB	RGB	RGB	RGB	RGB(S)
6343222	RGB	RGB	RC	RGB	RGB	RGB(S)
6343543	RC	RC	RC	RC	RC	RC(S)
6344499	RC	RC	RC	U	RC	RC(S)
6345145	RGB	RGB	RC	RGB	U	RC(S)
6345456	RGB	RGB	RGB	RGB	RGB	RGB(S)
6345474	RC	RC	RC	RC	RC	RC(S)
6346443	RC	RC	RC	RC	RC	RC(S)
6347518	RGB	RGB	RGB	RGB	RGB	RGB(S)
6350696	RGB	RGB	RC	RGB	RGB	RGB(S)
6350918	RC	RC	RC	RC	RC	RC(S)
6352802	RGB	U	RGB	RGB	RGB	RGB(S)
6356038	U	RC	RGB	RGB	RC	RGB(S)
6356581	RGB	RGB	RC	RGB	U	RC(S)
6357879	RC	RC	RC	RC	RC	RC(S)
6358455	RGB	RGB	RGB	RGB	RGB	RGB(S)
6358570	RGB	RGB	RGB	RGB	RGB	UpperRGB
6358695	RGB	RGB	RC	RGB	RGB	RGB(S)
6359105	RGB	RGB	RC	RGB	RGB	RGB(S)
6359454	RGB	RGB	RGB	RGB	RGB	RGB(S)
6359890	RGB	RGB	RGB	RGB	RGB	RGB(S)
6360104	RGB	RGB	RGB	RGB	RGB	RGB(S)
6363090	RC	RC	RC	RC	RC	RC(S)
6363109	RGB	RGB	RGB	RGB	RGB	RGB(S)
6363338	RC	RC	RC	RC	RC	RC(S)
6365511	RGB	RGB	RGB	RGB	RGB	RGB(S)
6365867	RC	RC	RC	RC	RC	RC(S)
6367815	RC	RC	RC	RC	RC	RC(S)
6368363	RGB	RGB	RGB	RGB	RGB	RGB(S)
6368800	RC/2CL	RC	RC	2CL	RC	RC(S)
6369548	RGB	RGB	RC	RGB	RGB	RGB(S)
6369774	RGB	RGB	RGB	RGB	RGB	RGB(S)
6370549	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6371008	RC	RC	RC	RC	RC	RC(S)
6371141	2CL	RC	RC	2CL	2CL	RC(S)
6371980	U	U	RC	U	U	RC(S)
6372328	RC	RC	RC	RC	RC	RC(S)
6380975	RGB	RGB	RGB	RGB	RGB	RGB(S)
6382244	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6382801	U	check	RC	RC	U	RC(S)
6382830	RGB/AGB	U	RC	AGB	RGB	RC(S)
6383228	U	RGB	RC	2CL	U	RC(S)
6383574	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6383953	U	RGB	RC	RGB	2CL	RGB(S)
6384492	RGB	RGB	RGB	RGB	U	RGB(S)
6385325	RC/2CL	RC	RC	2CL	RC	RC(S)
6385534	RGB	RGB	RGB	U	RGB	UpperRGB
6385953	RGB	RGB	RC	RGB	RGB	RGB(S)
6386908	RGB	RGB	RGB	U	RGB	UpperRGB
6390781	RGB	RGB	RGB	RGB	RGB	RGB(S)
6391933	RGB	RGB	RGB	RGB	RGB	RGB(S)
6421579	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
6422994	U	RC	RC	RGB	U	RC(S)
6423690	RC	RC	RGB	RC	RC	RGB(S)
6424157	RGB	RGB	RGB	RGB	RGB	RGB(S)
6425301	RGB	RGB	RGB	RGB	RGB	RGB(S)
6425652	RC	RC	RC	RC	RC	RC(S)
6428602	RGB	RGB	RGB	RGB	RGB	RGB(S)
6428974	RC	RC	RC	RC	RC	RC(S)
6429453	U	?	RGB	U	U	RGB(S)
6429457	RC	RC	RC	RC	RGB	RC(S)
6429747	U	U	RC	RGB	U	RGB(S)
6429995	RGB	RGB	RGB	RGB	RGB	RGB(S)
6430534	RC	RC	RC	RC	U	RGB(S)
6430804	U	?	?	U	U	RGB(S)
6430834	RC	RC	RC	U	RC	RC(S)
6431941	RGB	RGB	RGB	U	RGB	UpperRGB
6435542	RGB	RGB	RGB	U	RGB	RGB(S)
6435786	RGB	RGB	RGB	U	RGB	RGB(S)
6436353	RGB	RGB	RC	U	RGB	RGB(S)
6437547	RGB	RGB	RC	U	RGB	RGB(S)
6441442	RGB	RGB	RGB	U	RGB	RGB(S)
6443407	RGB	RGB	RGB	U	RGB	RGB(S)
6444595	RGB	RGB	RGB	U	RGB	RGB(S)
6445497	RC	RC	RC	U	RC	RGB(S)
6447498	RGB	RGB	RGB	U	RGB	RGB(S)
6447552	RGB	RGB	RGB	U	RGB	RGB(S)
6447817	RC	RC	RC	U	RC	RGB(S)
6447883	RGB	RGB	RGB	U	RGB	UpperRGB
6448010	RC	RC	RC	U	RC	RC(S)
6448230	U	check	RC	U	2CL	RC(S)
6448697	RGB	RGB	RGB	U	RGB	RGB(S)
6448890	U	RGB	RGB	U	U	RGB(S)
6450613	2CL	RC	RC	U	2CL	RC(S)
6451229	RGB	RGB	RGB	U	RGB	UpperRGB
6451238	U	check	RC	U	U	RC(S)
6451495	RGB	RGB	RGB	U	RGB	RGB(S)
6452242	U	RGB	RGB	U	U	UpperRGB
6462755	U	RC	RGB	U	RGB	RC(S)
6465075	RGB	RGB	RGB	U	RGB	RGB(S)
6465610	RC	RC	RC	U	RC	RC(S)
6467408	RGB	RGB	RGB	RGB	RGB	RGB(S)
6467645	RGB	U	RGB	RGB	RGB	RGB(S)
6467788	RGB	RGB	RGB	RGB	RGB	RGB(S)
6468112	U	RC	RC	U	U	RC(S)
6468506	RC	RC	RC	RC	RC	RC(S)
6469446	RGB	RGB	RGB	RGB	RGB	RGB(S)
6470560	RC	RC	RC	RGB	RC	RC(S)
6500038	RGB	RGB	RGB	RGB	RGB	RGB(S)
6500623	RGB	RGB	RGB	RGB	RGB	UpperRGB
6501237	RGB	RGB	RC	RGB	RGB	RGB(S)
6501676	RGB	RGB	RGB	RGB	RGB	RGB(S)
6501869	RC	RC	RC	RC	RC	RC(S)
6502765	RC	RC	RC	RC	RC	RC(S)
6502800	RGB	RGB	RC	RGB	RGB	RGB(S)
6502831	RC	RC	RC	RC	RC	RC(S)
6502960	RGB	RGB	RGB	RGB	RGB	UpperRGB
6503502	U	RGB	RC	RC	U	RC(S)
6504411	RC	RC	RC	RC	RC	RC(S)
6504725	RC/U	U	RC	RC	U	RC(S)
6504840	RGB	RGB	RC	RGB	RGB	RGB(S)
6504978	RGB	RGB	RGB	RGB	RGB	RGB(S)
6505025	RC	RC	RC	RC	RC	RC(S)
6507794	RGB	RGB	RGB	RGB	RGB	RGB(S)
6508300	RC	RC	RC	RC	RC	RC(S)
6508328	RC	RC	RC	RC	RC	RC(S)
